"Rank","Name","Net Worth","Age","Country | Territory","Source","Industry"
"1","Bernard Arnault & family","$211 B","74","France","LVMH","Fashion & Retail"
"2","Elon Musk","$180 B","51","United States","Tesla, SpaceX","Automotive"
"3","Jeff Bezos","$114 B","59","United States","Amazon","Technology"
"4","Larry Ellison","$107 B","78","United States","Oracle","Technology"
"5","Warren Buffett","$106 B","92","United States","Berkshire Hathaway","Finance & Investments"
"6","Bill Gates","$104 B","67","United States","Microsoft","Technology"
"7","Michael Bloomberg","$94.5 B","81","United States","Bloomberg LP","Media & Entertainment"
"8","Carlos Slim Helu & family","$93 B","83","Mexico","Telecom","Telecom"
"9","Mukesh Ambani","$83.4 B","65","India","Diversified","Diversified"
"10","Steve Ballmer","$80.7 B","67","United States","Microsoft","Technology"
"11","Francoise Bettencourt Meyers & family","$80.5 B","69","France","L'Oréal","Fashion & Retail"
"12","Larry Page","$79.2 B","50","United States","Google","Technology"
"13","Amancio Ortega","$77.3 B","87","Spain","Zara","Fashion & Retail"
"14","Sergey Brin","$76 B","49","United States","Google","Technology"
"15","Zhong Shanshan","$68 B","68","China","Beverages, pharmaceuticals","Food & Beverage"
"16","Mark Zuckerberg","$64.4 B","38","United States","Facebook","Technology"
"17","Charles Koch & family","$59 B","87","United States","Koch Industries","Diversified"
"17","Julia Koch & family","$59 B","60","United States","Koch Industries","Diversified"
"19","Jim Walton","$58.8 B","74","United States","Walmart","Fashion & Retail"
"20","Rob Walton & family","$57.6 B","78","United States","Walmart","Fashion & Retail"
"21","Alice Walton","$56.7 B","73","United States","Walmart","Fashion & Retail"
"22","David Thomson & family","$54.4 B","65","Canada","Media","Media & Entertainment"
"23","Michael Dell","$50.1 B","58","United States","Dell Technologies","Technology"
"24","Gautam Adani","$47.2 B","60","India","Infrastructure, commodities","Diversified"
"25","Phil Knight & family","$45.1 B","85","United States","Nike","Fashion & Retail"
"26","Zhang Yiming","$45 B","39","China","TikTok","Technology"
"27","Dieter Schwarz","$42.9 B","83","Germany","Retail","Fashion & Retail"
"28","François Pinault & family","$40.1 B","86","France","Luxury goods","Fashion & Retail"
"29","Klaus-Michael Kuehne","$39.1 B","85","Germany","Shipping","Logistics"
"30","Giovanni Ferrero","$38.9 B","58","Italy","Nutella, chocolates","Food & Beverage"
"31","Jacqueline Mars","$38.3 B","83","United States","Candy, pet food","Food & Beverage"
"31","John Mars","$38.3 B","87","United States","Candy, pet food","Food & Beverage"
"33","Li Ka-shing","$38 B","94","Hong Kong","Diversified","Diversified"
"34","Ma Huateng","$35.3 B","51","China","Internet media","Technology"
"35","Miriam Adelson & family","$35 B","77","United States","Casinos","Gambling & Casinos"
"35","Ken Griffin","$35 B","54","United States","Hedge funds","Finance & Investments"
"37","Mark Mateschitz","$34.7 B","30","Austria","Red Bull","Food & Beverage"
"38","Robin Zeng","$33.4 B","54","Hong Kong","Batteries","Automotive"
"39","Tadashi Yanai & family","$32.6 B","74","Japan","Fashion retail","Fashion & Retail"
"40","Len Blavatnik","$32.1 B","65","United States","Music, chemicals","Diversified"
"41","Alain Wertheimer","$31.6 B","74","France","Chanel","Fashion & Retail"
"41","Gerard Wertheimer","$31.6 B","72","France","Chanel","Fashion & Retail"
"43","Gianluigi Aponte","$31.2 B","82","Switzerland","Shipping","Logistics"
"43","Rafaela Aponte-Diamant","$31.2 B","78","Switzerland","Shipping","Logistics"
"45","Colin Huang","$30.2 B","43","China","E-commerce","Technology"
"46","Reinhold Wuerth & family","$29.7 B","87","Germany","Fasteners","Manufacturing"
"47","Lee Shau Kee","$29.5 B","95","Hong Kong","Real estate","Real Estate"
"48","Jeff Yass","$28.5 B","64","United States","Trading, investments","Finance & Investments"
"49","Jim Simons","$28.1 B","84","United States","Hedge funds","Finance & Investments"
"50","Stephen Schwarzman","$27.8 B","76","United States","Investments","Finance & Investments"
"51","Susanne Klatten","$27.4 B","60","Germany","BMW, pharmaceuticals","Automotive"
"52","Gina Rinehart","$27 B","69","Australia","Mining","Metals & Mining"
"53","William Ding","$26.7 B","51","China","Online games","Technology"
"54","Germán Larrea Mota Velasco & family","$26.6 B","69","Mexico","Mining","Metals & Mining"
"55","Shiv Nadar","$25.6 B","77","India","software services","Technology"
"56","Low Tuck Kwong","$25.5 B","74","Indonesia","Coal","Energy"
"57","Thomas Peterffy","$25.3 B","78","United States","Discount brokerage","Finance & Investments"
"58","Andrey Melnichenko & family","$25.2 B","51","Russia","Fertilizers, coal","Metals & Mining"
"59","Stefan Quandt","$24.6 B","56","Germany","BMW","Automotive"
"60","MacKenzie Scott","$24.4 B","52","United States","Amazon","Technology"
"61","R. Budi Hartono","$24.2 B","82","Indonesia","Banking, tobacco","Finance & Investments"
"62","Vladimir Potanin","$23.7 B","62","Russia","Metals","Metals & Mining"
"63","Jack Ma","$23.5 B","58","China","E-commerce","Technology"
"64","He Xiangjian & family","$23.4 B","80","China","Home appliances","Manufacturing"
"65","Iris Fontbona & family","$23.1 B","80","Chile","Mining","Metals & Mining"
"65","Michael Hartono","$23.1 B","83","Indonesia","Banking, tobacco","Manufacturing"
"67","James Ratcliffe","$22.9 B","70","United Kingdom","Chemicals","Manufacturing"
"68","Cyrus Poonawalla","$22.6 B","81","India","Vaccines","Healthcare"
"69","Masayoshi Son","$22.4 B","65","Japan","Internet, telecom","Telecom"
"70","Vladimir Lisin","$22.1 B","66","Russia","Steel, transport","Metals & Mining"
"71","Emmanuel Besnier","$22 B","52","France","Cheese","Food & Beverage"
"72","Abigail Johnson","$21.6 B","61","United States","Fidelity","Finance & Investments"
"72","Leonid Mikhelson & family","$21.6 B","67","Russia","Gas, chemicals","Energy"
"74","Lukas Walton","$21.2 B","36","United States","Walmart","Fashion & Retail"
"74","Wang Wei","$21.2 B","52","China","Package delivery","Service"
"76","Jensen Huang","$21.1 B","60","United States","Semiconductors","Technology"
"77","Leonard Lauder","$21 B","90","United States","Estee Lauder","Fashion & Retail"
"77","Takemitsu Takizaki","$21 B","77","Japan","Sensors","Manufacturing"
"79","Alexey Mordashov & family","$20.9 B","57","Russia","Steel, investments","Metals & Mining"
"80","Vagit Alekperov","$20.5 B","72","Russia","Oil","Energy"
"81","Thomas Frist, Jr. & family","$20.2 B","84","United States","Hospitals","Healthcare"
"82","Andrew Forrest","$19.6 B","61","Australia","Mining","Metals & Mining"
"83","Ray Dalio","$19.1 B","73","United States","Hedge funds","Finance & Investments"
"84","Eric Li","$19 B","59","China","Automobiles","Automotive"
"84","Wang Wenyin","$19 B","55","China","Mining, copper products","Metals & Mining"
"86","Eyal Ofer","$18.9 B","72","Israel","Real estate, shipping","Diversified"
"86","Qin Yinglin","$18.9 B","57","China","Pig breeding","Food & Beverage"
"88","Wang Chuanfu","$18.7 B","57","China","Batteries, automobiles","Automotive"
"89","Harold Hamm & family","$18.5 B","77","United States","Oil & gas","Energy"
"89","David Tepper","$18.5 B","65","United States","Hedge funds","Finance & Investments"
"89","Gennady Timchenko","$18.5 B","70","Russia","Oil, gas","Energy"
"92","Daniel Gilbert","$18 B","61","United States","Quicken Loans","Finance & Investments"
"93","Lakshmi Mittal","$17.7 B","72","India","Steel","Metals & Mining"
"94","Steve Cohen","$17.5 B","66","United States","Hedge funds","Finance & Investments"
"94","Carl Icahn","$17.5 B","87","United States","Investments","Finance & Investments"
"94","Savitri Jindal & family","$17.5 B","73","India","Steel","Metals & Mining"
"97","Donald Bren","$17.4 B","90","United States","Real estate","Real Estate"
"97","John Menard, Jr.","$17.4 B","83","United States","Home improvement stores","Fashion & Retail"
"99","Rupert Murdoch & family","$17.1 B","92","United States","Newspapers, TV network","Media & Entertainment"
"100","Vicky Safra & family","$16.7 B","70","Brazil","Banking","Finance & Investments"
"101","Theo Albrecht, Jr. & family","$16.5 B","72","Germany","Aldi, Trader Joe's","Fashion & Retail"
"101","Renata Kellnerova & family","$16.5 B","55","Czech Republic","Finance, telecommunications","Finance & Investments"
"103","Li Xiting","$16.3 B","72","Singapore","medical devices","Healthcare"
"104","Stefan Persson","$16.2 B","75","Sweden","H&M","Fashion & Retail"
"104","Eric Schmidt","$16.2 B","67","United States","Google","Technology"
"106","Michael Platt","$16 B","55","United Kingdom","Hedge funds","Finance & Investments"
"107","Pang Kang","$15.9 B","67","China","Soy sauce","Food & Beverage"
"108","Karl Albrecht Jr. & family","$15.8 B","N/A","Germany","Supermarkets","Fashion & Retail"
"108","Beate Heister","$15.8 B","N/A","Germany","Supermarkets","Fashion & Retail"
"108","Jorge Paulo Lemann & family","$15.8 B","83","Brazil","Beer","Food & Beverage"
"108","Peter Woo","$15.8 B","76","Hong Kong","Real estate","Real Estate"
"112","Dilip Shanghvi","$15.6 B","67","India","Pharmaceuticals","Healthcare"
"113","Robert Pera","$15.5 B","45","United States","Wireless networking","Technology"
"114","Radhakishan Damani","$15.3 B","68","India","Retail, investments","Fashion & Retail"
"115","Huang Shilin","$15.2 B","56","China","Batteries","Automotive"
"116","Dhanin Chearavanont","$14.9 B","83","Thailand","Diversified","Diversified"
"116","David Green & family","$14.9 B","81","United States","Retail","Fashion & Retail"
"118","Charoen Sirivadhanabhakdi","$14.8 B","78","Thailand","Alcohol, real estate","Food & Beverage"
"119","Charlene de Carvalho-Heineken & family","$14.7 B","68","Netherlands","Heineken","Food & Beverage"
"120","Xu Hang","$14.6 B","60","Hong Kong","Medical devices","Healthcare"
"121","Wei Jianjun & family","$14.5 B","59","China","Automobiles","Automotive"
"122","Alisher Usmanov","$14.4 B","69","Russia","Steel, telecom, investments","Metals & Mining"
"123","Goh Cheng Liang","$14.3 B","95","Singapore","Paints","Manufacturing"
"124","Kumar Birla","$14.2 B","55","India","Commodities","Diversified"
"124","Aliko Dangote","$14.2 B","65","Nigeria","Cement, sugar","Manufacturing"
"126","Kwong Siu-hing","$14.1 B","93","Hong Kong","Real estate","Real Estate"
"127","Idan Ofer","$14 B","67","Israel","Shipping","Diversified"
"128","Chen Bang","$13.9 B","57","China","Hospitals","Healthcare"
"128","Lui Che Woo","$13.9 B","94","Hong Kong","Casinos/hotels","Gambling & Casinos"
"130","John Fredriksen","$13.7 B","78","Cyprus","Shipping","Logistics"
"130","Diane Hendricks","$13.7 B","76","United States","Building supplies","Construction & Engineering"
"130","Jan Koum","$13.7 B","47","United States","WhatsApp","Technology"
"133","Jerry Jones","$13.3 B","80","United States","Dallas Cowboys","Sports"
"133","George Kaiser","$13.3 B","80","United States","Oil & gas, banking","Energy"
"133","Joseph Lau","$13.3 B","71","Hong Kong","Real estate","Real Estate"
"136","Lu Xiangyang","$13.2 B","60","China","Automobiles, batteries","Automotive"
"137","Harry Triguboff","$13.1 B","90","Australia","Real estate","Real Estate"
"138","Uday Kotak","$12.9 B","64","India","Banking","Finance & Investments"
"138","Stanley Kroenke","$12.9 B","75","United States","Sports, real estate","Sports"
"140","Mikhail Fridman","$12.6 B","58","Russia","Oil, banking, telecom","Energy"
"141","Sarath Ratanavadi","$12.3 B","57","Thailand","Energy","Energy"
"142","Dang Yanbao","$12.2 B","50","China","Coal","Metals & Mining"
"142","Jiang Rensheng & family","$12.2 B","69","China","Vaccines","Healthcare"
"144","Shahid Khan","$12.1 B","72","United States","Auto parts","Automotive"
"145","Laurene Powell Jobs & family","$12 B","59","United States","Apple, Disney","Technology"
"146","Robert Kuok","$11.8 B","99","Malaysia","Palm oil, shipping, property","Diversified"
"147","Stephen Ross","$11.6 B","82","United States","Real estate","Real Estate"
"148","Pavel Durov","$11.5 B","38","United Arab Emirates","Messaging app","Technology"
"148","Andreas Struengmann & family","$11.5 B","73","Germany","Pharmaceuticals","Healthcare"
"148","Thomas Struengmann & family","$11.5 B","73","Germany","Pharmaceuticals","Healthcare"
"151","Liu Hanyuan","$11.4 B","59","China","Agribusiness","Food & Beverage"
"151","Michael Rubin","$11.4 B","50","United States","Online retail","Fashion & Retail"
"153","Israel Englander","$11.3 B","74","United States","Hedge funds","Finance & Investments"
"153","Viatcheslav Kantor","$11.3 B","69","Russia","Fertilizer, real estate","Manufacturing"
"153","Anthony Pratt","$11.3 B","62","Australia","Manufacturing","Manufacturing"
"153","Mikhail Prokhorov","$11.3 B","57","Russia","Investments","Finance & Investments"
"157","Giorgio Armani","$11.1 B","88","Italy","Luxury goods","Fashion & Retail"
"157","Johann Rupert & family","$11.1 B","72","South Africa","Luxury goods","Fashion & Retail"
"159","Gong Hongjia & family","$11 B","58","Hong Kong","Video surveillance","Finance & Investments"
"159","Zhang Zhidong","$11 B","51","China","Internet media","Technology"
"161","Philip Anschutz","$10.9 B","83","United States","Energy, sports, entertainment","Finance & Investments"
"161","Judy Love & family","$10.9 B","85","United States","Gas stations","Fashion & Retail"
"161","Ricardo Salinas Pliego & family","$10.9 B","67","Mexico","Retail, media","Fashion & Retail"
"164","Donald Newhouse","$10.7 B","93","United States","Media","Media & Entertainment"
"165","Robert Kraft","$10.6 B","81","United States","Manufacturing, New England Patriots","Sports"
"165","Marcel Herrmann Telles & family","$10.6 B","73","Brazil","Beer","Food & Beverage"
"167","Suleiman Kerimov & family","$10.5 B","57","Russia","Gold","Finance & Investments"
"167","Sky Xu","$10.5 B","39","China","E-commerce","Fashion & Retail"
"167","Changpeng Zhao","$10.5 B","45","Canada","Cryptocurrency exchange","Finance & Investments"
"170","Andrew Beal","$10.3 B","70","United States","Banks, real estate","Finance & Investments"
"171","Mike Cannon-Brookes","$10.2 B","43","Australia","Software","Technology"
"171","Carl Cook","$10.2 B","60","United States","Medical devices","Healthcare"
"171","David Duffield","$10.2 B","82","United States","Business software","Technology"
"171","Jeffery Hildebrand","$10.2 B","64","United States","Oil","Energy"
"171","Viktor Rashnikov","$10.2 B","74","Russia","Steel","Manufacturing"
"171","Eduardo Saverin","$10.2 B","41","Brazil","Facebook","Technology"
"171","Georg Schaeffler","$10.2 B","58","Germany","Auto parts","Automotive"
"171","Christy Walton","$10.2 B","74","United States","Walmart","Fashion & Retail"
"179","Scott Farquhar","$10.1 B","43","Australia","Software","Technology"
"179","Quek Leng Chan","$10.1 B","81","Malaysia","Banking, property","Diversified"
"179","Wu Yajun","$10.1 B","59","China","Real estate","Real Estate"
"182","Autry Stephens","$10 B","85","United States","Oil","Energy"
"183","Liu Yongxing","$9.9 B","74","China","Diversified","Service"
"184","Vinod Adani","$9.8 B","74","Cyprus","Infrastructure, commodities","Diversified"
"184","Nicolas Puech","$9.8 B","80","France","Hermes","Fashion & Retail"
"184","Jacques Saadé, Jr.","$9.8 B","51","France","Shipping","Logistics"
"184","Rodolphe Saadé","$9.8 B","53","France","Shipping","Logistics"
"184","Tanya Saadé Zeenny","$9.8 B","55","France","Shipping","Logistics"
"184","Melker Schorling & family","$9.8 B","75","Sweden","Investments","Finance & Investments"
"190","Andrei Guryev & family","$9.7 B","63","Russia","Fertilizers","Manufacturing"
"190","Michael Kim","$9.7 B","59","United States","Private equity","Finance & Investments"
"190","Lei Jun","$9.7 B","53","China","Smartphones","Technology"
"190","Friedhelm Loh","$9.7 B","76","Germany","Manufacturing","Manufacturing"
"190","Sun Piaoyang","$9.7 B","64","China","Pharmaceuticals","Healthcare"
"195","Rick Cohen & family","$9.6 B","70","United States","Warehouse automation","Technology"
"195","Jin Baofang","$9.6 B","70","China","Solar panels","Energy"
"195","Luo Liguo & family","$9.6 B","67","China","Chemicals","Manufacturing"
"195","Marijke Mars","$9.6 B","58","United States","Candy, pet food","Food & Beverage"
"195","Pamela Mars","$9.6 B","62","United States","Candy, pet food","Food & Beverage"
"195","Valerie Mars","$9.6 B","64","United States","Candy, pet food","Food & Beverage"
"195","Victoria Mars","$9.6 B","66","United States","Candy, pet food","Food & Beverage"
"202","Vincent Bolloré & family","$9.5 B","71","France","Investments","Finance & Investments"
"202","Jim Pattison","$9.5 B","94","Canada","Diversified","Diversified"
"204","Ernesto Bertarelli","$9.4 B","57","Switzerland","Biotech, investments","Healthcare"
"204","Wang Xing","$9.4 B","44","China","Food delivery","Technology"
"206","Brian Chesky","$9.3 B","41","United States","Airbnb","Technology"
"206","James Dyson","$9.3 B","75","United Kingdom","Vacuums","Manufacturing"
"208","Roman Abramovich & family","$9.2 B","56","Russia","Steel, investments","Diversified"
"208","Antonia Ax:son Johnson & family","$9.2 B","79","Sweden","Diversified","Diversified"
"208","Daniel Kretinsky","$9.2 B","47","Czech Republic","Energy, investments","Energy"
"208","John Malone","$9.2 B","82","United States","Cable television","Media & Entertainment"
"208","Azim Premji","$9.2 B","77","India","Software services","Technology"
"208","Charles Schwab","$9.2 B","85","United States","Discount brokerage","Finance & Investments"
"208","Eric Smidt","$9.2 B","63","United States","Hardware stores","Fashion & Retail"
"215","David Cheriton","$9 B","72","Canada","Google","Technology"
"215","Ivan Glasenberg","$9 B","66","Switzerland","Mining","Metals & Mining"
"215","Alexander Otto","$9 B","55","Germany","Real estate","Real Estate"
"215","Anthony von Mandl","$9 B","73","Canada","Alcoholic beverages","Food & Beverage"
"215","Wang Liping & family","$9 B","57","China","Hydraulic machinery","Manufacturing"
"220","Finn Rausing","$8.9 B","68","Sweden","Packaging","Food & Beverage"
"220","Jorn Rausing","$8.9 B","63","Sweden","Packaging","Food & Beverage"
"220","Kirsten Rausing","$8.9 B","70","Sweden","Packaging","Food & Beverage"
"223","Tatyana Bakalchuk","$8.8 B","47","Russia","Ecommerce","Fashion & Retail"
"223","John Doerr","$8.8 B","71","United States","Venture capital","Technology"
"223","Richard Liu","$8.8 B","49","China","E-commerce","Technology"
"223","Dustin Moskovitz","$8.8 B","38","United States","Facebook","Technology"
"223","Pierre Omidyar","$8.8 B","55","United States","EBay, PayPal","Technology"
"223","Pei Zhenhua","$8.8 B","64","China","Batteries","Energy"
"223","Carrie Perrodo & family","$8.8 B","72","France","Oil","Energy"
"230","Chen Jianhua","$8.7 B","52","China","Chemicals","Manufacturing"
"230","Michael Otto","$8.7 B","79","Germany","Retail, real estate","Fashion & Retail"
"232","Leon Black","$8.6 B","71","United States","Private equity","Finance & Investments"
"232","Graeme Hart","$8.6 B","67","New Zealand","Investments","Finance & Investments"
"232","Ravi Jaipuria","$8.6 B","68","India","Soft drinks, fast food","Food & Beverage"
"232","Hasso Plattner & family","$8.6 B","79","Germany","Software","Technology"
"232","Carlos Alberto Sicupira & family","$8.6 B","75","Brazil","Beer","Food & Beverage"
"232","Manuel Villar","$8.6 B","73","Philippines","Real estate","Real Estate"
"232","Andreas von Bechtolsheim & family","$8.6 B","67","Germany","Google","Technology"
"239","Chase Coleman, III.","$8.5 B","47","United States","Investments","Finance & Investments"
"239","Ann Walton Kroenke","$8.5 B","74","United States","Walmart","Fashion & Retail"
"239","Li Zhenguo & family","$8.5 B","55","China","Solar wafers and modules","Manufacturing"
"242","Jim Kennedy","$8.4 B","75","United States","Media, automotive","Media & Entertainment"
"242","Nicky Oppenheimer & family","$8.4 B","77","South Africa","Diamonds","Metals & Mining"
"242","Blair Parry-Okeden","$8.4 B","72","United States","Media, automotive","Media & Entertainment"
"242","Zheng Shuliang & family","$8.4 B","77","China","Aluminum products","Metals & Mining"
"246","John Morris","$8.3 B","75","United States","Sporting goods retail","Fashion & Retail"
"246","Stefano Pessina","$8.3 B","81","Monaco","Drugstores","Fashion & Retail"
"246","Francine von Finck & family","$8.3 B","N/A","Germany","Investments","Finance & Investments"
"249","Francis Choi","$8.2 B","75","Hong Kong","Real estate","Real Estate"
"249","German Khan","$8.2 B","61","Russia","Oil, banking, telecom","Energy"
"249","Abdulsamad Rabiu","$8.2 B","62","Nigeria","Cement, sugar","Diversified"
"249","George Roberts","$8.2 B","79","United States","Private equity","Finance & Investments"
"249","Kushal Pal Singh","$8.2 B","91","India","Real estate","Real Estate"
"249","Wang Jianlin","$8.2 B","68","China","Real estate","Real Estate"
"249","Yang Huiyan & family","$8.2 B","41","China","Real estate","Real Estate"
"256","Laurent Dassault","$8.1 B","69","France","Diversified","Diversified"
"256","Thierry Dassault","$8.1 B","66","France","Diversified","Diversified"
"256","Tilman Fertitta","$8.1 B","65","United States","Houston Rockets, entertainment","Food & Beverage"
"256","Marie-Hélène Habert-Dassault","$8.1 B","58","France","Diversified","Diversified"
"256","Karel Komarek","$8.1 B","54","Czech Republic","Oil and gas, IT, lotteries","Gambling & Casinos"
"261","Nathan Blecharczyk","$8 B","39","United States","Airbnb","Technology"
"261","Leonid Fedun","$8 B","66","Russia","Oil","Energy"
"261","Bernard Marcus","$8 B","93","United States","Home Depot","Fashion & Retail"
"261","Patrick Ryan","$8 B","85","United States","Insurance","Finance & Investments"
"261","Robert F. Smith","$8 B","60","United States","Private equity","Finance & Investments"
"261","Pavel Tykac","$8 B","58","Czech Republic","Coal mines","Metals & Mining"
"261","Eric Wittouck","$8 B","76","Belgium","Investments","Finance & Investments"
"268","Orlando Bravo","$7.9 B","52","United States","Private equity","Finance & Investments"
"268","Ding Shizhong","$7.9 B","52","China","Sports apparel","Fashion & Retail"
"268","Nancy Walton Laurie","$7.9 B","71","United States","Walmart","Fashion & Retail"
"268","Jay Y. Lee","$7.9 B","54","South Korea","Samsung","Technology"
"268","Ramzi Musallam","$7.9 B","54","United States","Private equity","Finance & Investments"
"268","David Shaw","$7.9 B","72","United States","Hedge funds","Finance & Investments"
"268","Andrei Skoch & family","$7.9 B","57","Russia","Metals and mining","Metals & Mining"
"268","Georg Stumpf","$7.9 B","50","Austria","Real estate, construction","Diversified"
"276","Rocco Commisso","$7.8 B","73","United States","Telecom","Telecom"
"276","Li Shuirong & family","$7.8 B","66","China","Petrochemicals","Manufacturing"
"276","Lin Shu-hong","$7.8 B","94","Taiwan","Petrochemicals","Manufacturing"
"276","Qi Shi & family","$7.8 B","53","China","Financial information","Technology"
"276","Yao Liangsong","$7.8 B","58","China","Furniture","Manufacturing"
"276","Zhang Congyuan","$7.8 B","75","Taiwan","Shoes","Fashion & Retail"
"282","Jean-Michel Besnier","$7.7 B","55","France","Cheese","Food & Beverage"
"282","Marie Besnier Beauvalot","$7.7 B","42","France","Cheese","Food & Beverage"
"282","David Geffen","$7.7 B","80","United States","Movies, record labels","Media & Entertainment"
"282","Robin Li","$7.7 B","54","China","Internet search","Technology"
"282","Liu Yonghao & family","$7.7 B","71","China","Agribusiness","Service"
"282","Henry Samueli","$7.7 B","68","United States","Semiconductors","Technology"
"282","Reinhold Schmieding","$7.7 B","68","United States","Medical devices","Healthcare"
"282","Ivar Tollefsen","$7.7 B","61","Norway","Real estate","Real Estate"
"290","Cao Renxian","$7.6 B","54","China","Photovoltaic equipment","Energy"
"290","Hasmukh Chudgar & family","$7.6 B","89","India","Pharmaceuticals","Healthcare"
"290","Andrew Currie","$7.6 B","67","United Kingdom","Chemicals","Manufacturing"
"290","Joe Gebbia","$7.6 B","41","United States","Airbnb","Technology"
"290","Philip Ng","$7.6 B","64","Singapore","Real Estate","Real Estate"
"290","John Reece","$7.6 B","66","United Kingdom","Chemicals","Manufacturing"
"290","Leonard Stern","$7.6 B","85","United States","Real estate","Real Estate"
"290","Joseph Tsai","$7.6 B","59","Canada","E-commerce","Technology"
"290","Zhong Huijuan","$7.6 B","62","China","Pharmaceuticals","Healthcare"
"299","Arthur Blank","$7.5 B","80","United States","Home Depot","Sports"
"299","Charles Butt","$7.5 B","85","United States","Supermarkets","Fashion & Retail"
"299","Ding Shijia","$7.5 B","59","China","Sports apparel","Fashion & Retail"
"299","Paul Tudor Jones, II.","$7.5 B","68","United States","Hedge funds","Finance & Investments"
"299","Henry Kravis","$7.5 B","79","United States","Private equity","Finance & Investments"
"299","Zhang Yong","$7.5 B","52","Singapore","Restaurants","Food & Beverage"
"305","James Goodnight","$7.4 B","80","United States","Software","Technology"
"305","Sri Prakash Lohia","$7.4 B","70","Indonesia","Petrochemicals","Manufacturing"
"305","Ma Jianrong","$7.4 B","59","China","Textiles, apparel","Fashion & Retail"
"305","Robert Ng","$7.4 B","71","Singapore","Real estate","Real Estate"
"305","Steven Rales","$7.4 B","72","United States","Manufacturing, investments","Manufacturing"
"305","Nassef Sawiris","$7.4 B","62","Egypt","Construction, investments","Construction & Engineering"
"305","Harry Stine","$7.4 B","81","United States","Agriculture","Food & Beverage"
"312","Benu Gopal Bangur","$7.3 B","91","India","Cement","Manufacturing"
"312","Iskander Makhmudov","$7.3 B","59","Russia","Mining, metals, machinery","Metals & Mining"
"312","Anders Holch Povlsen","$7.3 B","50","Denmark","Fashion retail","Fashion & Retail"
"312","Enrique Razon Jr.","$7.3 B","63","Philippines","Ports","Logistics"
"312","Wang Laichun","$7.3 B","55","Hong Kong","Electronics components","Technology"
"317","Arthur Dantchik","$7.2 B","65","United States","Trading, investments","Finance & Investments"
"317","Terry Gou","$7.2 B","72","Taiwan","Electronics","Technology"
"317","Jeff Greene","$7.2 B","68","United States","Real estate, investments","Real Estate"
"317","Don Hankey","$7.2 B","79","United States","Auto loans","Finance & Investments"
"317","Richard Kinder","$7.2 B","78","United States","Pipelines","Energy"
"317","Guillaume Pousaz","$7.2 B","41","Switzerland","Fintech","Finance & Investments"
"317","Takahisa Takahara","$7.2 B","61","Japan","Personal care goods","Fashion & Retail"
"317","Zong Qinghou","$7.2 B","77","China","Beverages","Food & Beverage"
"325","Judy Faulkner","$7.1 B","79","United States","Healthcare software","Technology"
"325","Johann Graf","$7.1 B","76","Austria","Gambling","Gambling & Casinos"
"325","Tamara Gustavson","$7.1 B","61","United States","Self storage","Service"
"325","Liang Wengen","$7.1 B","66","China","Construction equipment","Manufacturing"
"325","Frederik Paulsen","$7.1 B","72","Sweden","Health care","Healthcare"
"325","Wee Cho Yaw","$7.1 B","94","Singapore","Banking","Finance & Investments"
"325","Zhang Hejun","$7.1 B","71","China","Electronics","Manufacturing"
"332","Marc Benioff","$7 B","58","United States","Business software","Technology"
"332","Dmitri Bukhman","$7 B","37","Israel","Online games","Media & Entertainment"
"332","Igor Bukhman","$7 B","41","Israel","Online games","Media & Entertainment"
"332","Jack Dangermond","$7 B","77","United States","Mapping software","Technology"
"332","Ashwin Dani & family","$7 B","80","India","Paints","Manufacturing"
"332","Ralph Lauren","$7 B","83","United States","Apparel","Fashion & Retail"
"332","Law Kar Po","$7 B","74","Hong Kong","Real estate","Real Estate"
"332","Rohiqa Cyrus Mistry","$7 B","55","India","Diversified","Diversified"
"332","Shapoor Mistry","$7 B","58","Ireland","Diversified","Diversified"
"332","J. Christopher Reyes","$7 B","69","United States","Food distribution","Food & Beverage"
"332","Jude Reyes","$7 B","67","United States","Food distribution","Food & Beverage"
"332","Don Vultaggio & family","$7 B","71","United States","Beverages","Food & Beverage"
"344","Alejandro Bailleres Gual & family","$6.9 B","62","Mexico","Diversified","Diversified"
"344","Edythe Broad & family","$6.9 B","87","United States","Homebuilding, insurance","Diversified"
"344","Pauline MacMillan Keinath","$6.9 B","89","United States","Cargill","Food & Beverage"
"344","Philippe Laffont","$6.9 B","55","United States","Hedge fund","Finance & Investments"
"344","Liu Jincheng & family","$6.9 B","58","China","Lithium batteries","Manufacturing"
"344","Igor Olenicoff","$6.9 B","80","United States","Real estate","Real Estate"
"344","Sandra Ortega Mera","$6.9 B","54","Spain","Zara","Fashion & Retail"
"344","Ronda Stryker","$6.9 B","68","United States","Medical equipment","Healthcare"
"352","Dannine Avara","$6.8 B","59","United States","Pipelines","Energy"
"352","Silvio Berlusconi & family","$6.8 B","86","Italy","Media","Diversified"
"352","Denise Coates","$6.8 B","55","United Kingdom","Online gambling","Gambling & Casinos"
"352","Scott Duncan","$6.8 B","40","United States","Pipelines","Energy"
"352","Milane Frantz","$6.8 B","53","United States","Pipelines","Energy"
"352","Edward Johnson, IV.","$6.8 B","58","United States","Fidelity","Finance & Investments"
"352","Yuri Milner","$6.8 B","61","Israel","Tech investments","Finance & Investments"
"352","Gordon Moore","$6.8 B","94","United States","Intel","Technology"
"352","John Overdeck","$6.8 B","53","United States","Hedge funds","Finance & Investments"
